county,2008,2009,2010,2011,2012,2013
schoharie,4.6414,3.67176,9.92358,7.62829,NA,12.91329
fulton,7.995076,1.308926,25.969914,0.26536,14.8627,19.1388
yates,9.79349,7.68052,0.197,3.47468,NA,0.00744
allegany,16.7867,25.1194,39.28005,49.6529,0.00744,82.29444
clinton,18.36457,17.85051,96.70318,5.85981,22.181,24.39965
richmond,28.029098,35.10915,217.41066,117.87296,98.957438,111.655868
hamilton,36.136624,61.733006,20.850048,38.2028,31.26677,31.26677
montgomery,37.58553,4.8453,5.8497,4.97668,34.39407,34.64102
orleans,40.39229,13.10871,146.14028,50.81955,3.111434,197.767134
oswego,40.64858,33.9774,80.287944,40.86805,NA,51.84245
schuyler,55.23615,6.65202,0.712025,87.44484,NA,1.42656
steuben,63.61114,82.437485,76.6075,71.01471,3.1285,79.6966
genesee,66.31607,113.83631,678.65809,89.35157,15.88388,252.89033
kings,73.7604065,106.994525,325.5999109,36.212359,33.301769,56.0697117
livingston,74.1605,231.42203,562.05742,418.39969,398.23965,406.88385
herkimer,77.3217,12.583158,14.438114,15.776374,13.37372,28.801652
lewis,91.42257,66.1185,250.76775,177.68311,1.95266,205.88116
sullivan,103.961422,6.16699,11.52016,41.74238,30.437984,27.247584
greene,106.91362,34.875782,151.92587,47.49263,5.00E-05,6.05054
washington,109.16413,35.16217,66.62046,25.62078,13.835,14.90027
schenectady,119.014707,49.836171,132.567355,43.321491,40.596392,82.9568464
putnam,120.0243056,68.39684,24.18539,109.74951,61.13112,67.62152
essex,120.963492,87.915462,52.002418,79.955292,69.898212,71.221332
otsego,122.06869,35.65866,62.18061,75.16535,11.211,200.79414
chenango,130.10669,214.19071,116.561156,162.93226,17.34324,216.679678
st.lawrence,130.91453,37.639352,7.1391,12.352018,14.2678,21.386902
delaware,137.73858,136.71373,133.84523,191.76865,17.008064,263.267504
warren,150.236104,82.581045,210.40067,232.39959,39.912,47.03553
tioga,152.26661,75.36473,25.73885,33.78353,31.41972,40.55672
rensselaer,162.14776,38.24738,60.60941,84.26503,42.595708,45.364208
ulster,188.0636,157.57633,50.40804,36.594686,42.34592,50.89543
newyork,188.330709,136.7006955,208.108845,142.969747,384.358145,385.930338
columbia,197.65177,92.225362,59.56138,49.705346,101.517394,154.210094
wyoming,203.881938,201.009076,1148.954696,255.81914,352.286326,348.310486
broome,232.24877,61.86465,95.53407,261.708875,48.19792,169.44148
madison,238.85034,131.36328,141.31275,214.102592,0.60966,352.564644
bronx,244.354429,161.3360088,56.2031175,99.607065,814.42719,151.2678819
cortland,263.5113,119.23762,112.47578,80.25595,4.782956,97.789506
niagara,267.268188,284.601476,1565.29819,435.57205,157.8675,408.67156
tompkins,278.54192,221.636865,226.74004,196.13892,253.53218,275.83018
franklin,279.04569,117.82987,19.42628,143.3063,1.404174,1.404174
chemung,280.39881,87.40285,113.89308,348.70848,18.4204,18.45998
seneca,288.06148,408.01759,69.05355,76.89399,77.281,232.6601
queens,293.007753,252.457355,502.557914,350.26376,98.559097,166.777722
cattaraugus,320.40323,271.2256,1147.93445,82.3648,10.313872,246.430712
albany,369.65403,253.424306,408.673599,287.84137,48.84339,221.2204448
onondaga,376.6855,356.42232,490.66799,325.56867,137.0026,806.56687
oneida,404.570428,304.776668,264.077864,268.627414,275.19024,277.5419806
cayuga,649.27394,526.531484,752.37237,818.53151,1.96788,1019.03028
ontario,654.44958,829.58877,875.2673,985.460075,18.99702,583.436194
jefferson,655.062498,263.5307,463.70584,326.707832,0.01489,149.809254
saratoga,690.055884,365.738908,308.572945,277.62715,271.2856849,353.7741649
chautauqua,923.774545,911.669585,1120.01164,98.59634,180.77638,351.429928
orange,1088.20475,378.59881,141.08677,379.77986,276.123882,383.191372
rockland,1311.675355,468.485329,437.317286,240.9333273,145.1388,329.36854
dutchess,1336.06709,219.728817,343.302994,170.687876,245.159812,259.934462
wayne,1783.58676,522.02953,256.94354,447.577615,16.97928,400.923874
monroe,2700.815017,1811.767929,3169.399714,1939.76278,673.796597,739.531267
nassau,8751.172788,8558.655129,9574.264616,6540.982932,4966.27219,7440.835134
suffolk,8788.379196,5251.522472,13658.50298,5039.700234,3835.749143,4597.429817
westchester,8946.278583,6691.651468,2360.140902,2186.609731,1457.411916,1961.365506
erie,1120.310715,1168.628232,3155.82867,1875.417768,264.43097,848.81654
