,X,cnty_name,ai_name,AIused,year
1,1,ALBANY,ACEPHATE,0.3982,2008
2,2,ALBANY,BENSULIDE,12.58,2008
3,3,ALBANY,CHLORPYRIFOS,4.26406,2008
4,4,ALBANY,DICHLORVOS,10.3516,2008
5,5,ALBANY,DICROTOPHOS,0.0082,2008
6,6,ALBANY,DISULFOTON,0.0176,2008
7,7,ALBANY,FENAMIPHOS,22.5,2008
8,8,ALBANY,GLYPHOSATE,0.09905,2008
9,9,ALBANY,PROPETAMPHOS,0.60858,2008
10,10,ALBANY,TRICHLORFON,318.82674,2008
11,11,ALLEGANY,DIAZINON,0.0025,2008
12,12,ALLEGANY,DIMETHOATE,0.174,2008
13,13,ALLEGANY,GLYPHOSATE,14.4402,2008
14,14,ALLEGANY,TRICHLORFON,2.17,2008
15,15,BRONX,ACEPHATE,215.4623,2008
16,16,BRONX,AZINPHOS-METHYL,0.00124,2008
17,17,BRONX,CHLORPYRIFOS,2.715665,2008
18,18,BRONX,DICHLORVOS,0.200044,2008
19,19,BRONX,DICROTOPHOS,0.0082,2008
20,20,BRONX,GLYPHOSATE,0.35375,2008
21,21,BRONX,PROPETAMPHOS,0.88074,2008
22,22,BRONX,RONNEL,0.00125,2008
23,23,BRONX,TRICHLORFON,24.73124,2008
24,24,BROOME,ACEPHATE,7.918,2008
25,25,BROOME,BENSULIDE,7.572,2008
26,26,BROOME,CHLORPYRIFOS,3.05055,2008
27,27,BROOME,DICHLORVOS,0.21786,2008
28,28,BROOME,DICROTOPHOS,0.0328,2008
29,29,BROOME,GLYPHOSATE,18.12656,2008
30,30,BROOME,TRICHLORFON,195.331,2008
31,31,CATTARAUGUS,CHLORFENVINPHOS,5,2008
32,32,CATTARAUGUS,CHLORPYRIFOS,0.22,2008
33,33,CATTARAUGUS,DIAZINON,0.4875,2008
34,34,CATTARAUGUS,DIMETHOATE,211.14465,2008
35,35,CATTARAUGUS,GLYPHOSATE,103.0371,2008
36,36,CATTARAUGUS,TRICHLORFON,0.51398,2008
37,37,CAYUGA,ACEPHATE,0.0675,2008
38,38,CAYUGA,CHLORPYRIFOS,12.78212,2008
39,39,CAYUGA,CHLORPYRIFOS-METHYL,0.216,2008
40,40,CAYUGA,DIAZINON,12.84,2008
41,41,CAYUGA,DICROTOPHOS,0.041,2008
42,42,CAYUGA,DIMETHOATE,2.262,2008
43,43,CAYUGA,GLYPHOSATE,597.7595,2008
44,44,CAYUGA,NALED,2.55,2008
45,45,CAYUGA,OXYDEMETON-METHYL,12.875,2008
46,46,CAYUGA,TRICHLORFON,7.88082,2008
47,47,CHAUTAUQUA,BENSULIDE,0.0108,2008
48,48,CHAUTAUQUA,CHLORPYRIFOS,2.3287,2008
49,49,CHAUTAUQUA,DIMETHOATE,800.96985,2008
50,50,CHAUTAUQUA,FENSULFOTHION,0.001335,2008
51,51,CHAUTAUQUA,GLYPHOSATE,58.277,2008
52,52,CHAUTAUQUA,PARATHION-METHYL,0.185,2008
53,53,CHAUTAUQUA,TRICHLORFON,62.00186,2008
54,54,CHEMUNG,ACEPHATE,3.5925,2008
55,55,CHEMUNG,BENSULIDE,0.56,2008
56,56,CHEMUNG,CHLORPYRIFOS,0.088,2008
57,57,CHEMUNG,DICHLORVOS,0.00038,2008
58,58,CHEMUNG,DICROTOPHOS,0.0492,2008
59,59,CHEMUNG,DIMETHOATE,0.38715,2008
60,60,CHEMUNG,GLYPHOSATE,10.26825,2008
61,61,CHEMUNG,RONNEL,0.00095,2008
62,62,CHEMUNG,TRICHLORFON,265.45238,2008
63,63,CHENANGO,CHLORPYRIFOS,0.6864,2008
64,64,CHENANGO,DIAZINON,17.5,2008
65,65,CHENANGO,GLYPHOSATE,89.35229,2008
66,66,CHENANGO,TRICHLORFON,22.568,2008
67,67,CLINTON,ACEPHATE,5.472,2008
68,68,CLINTON,CHLORPYRIFOS,0.4246,2008
69,69,CLINTON,GLYPHOSATE,6.28457,2008
70,70,CLINTON,TEMEPHOS,0.1539,2008
71,71,CLINTON,TRICHLORFON,6.0295,2008
72,72,COLUMBIA,ACEPHATE,1.9404,2008
73,73,COLUMBIA,BENSULIDE,22.015,2008
74,74,COLUMBIA,CHLORPYRIFOS,14.30376,2008
75,75,COLUMBIA,DICHLORVOS,8,2008
76,76,COLUMBIA,DICROTOPHOS,0.0082,2008
77,77,COLUMBIA,DISULFOTON,0.065,2008
78,78,COLUMBIA,GLYPHOSATE,11.849,2008
79,79,COLUMBIA,PHOSMET,2.8,2008
80,80,COLUMBIA,PROPETAMPHOS,0.00567,2008
81,81,COLUMBIA,TRICHLORFON,136.66474,2008
82,82,CORTLAND,ACEPHATE,0.0097,2008
83,83,CORTLAND,CHLORPYRIFOS,2.9752,2008
84,84,CORTLAND,DICROTOPHOS,0.0984,2008
85,85,CORTLAND,GLYPHOSATE,259.452,2008
86,86,CORTLAND,METHAMIDOPHOS,0.076,2008
87,87,CORTLAND,PHORATE,0.9,2008
88,88,DELAWARE,CHLORPYRIFOS,5.02328,2008
89,89,DELAWARE,DICROTOPHOS,0.123,2008
90,90,DELAWARE,GLYPHOSATE,111.4343,2008
91,91,DELAWARE,TRICHLORFON,21.158,2008
92,92,DUTCHESS,ACEPHATE,6.97736,2008
93,93,DUTCHESS,BENSULIDE,32.06,2008
94,94,DUTCHESS,CHLORPYRIFOS,17.38519,2008
95,95,DUTCHESS,DIAZINON,0.1,2008
96,96,DUTCHESS,DICHLORVOS,0.2533,2008
97,97,DUTCHESS,DICROTOPHOS,0.1312,2008
98,98,DUTCHESS,DIMETHOATE,2.55375,2008
99,99,DUTCHESS,PHOSMET,3.5,2008
100,100,DUTCHESS,PROPETAMPHOS,0.00945,2008
101,101,DUTCHESS,TRICHLORFON,1273.09684,2008
102,102,ERIE,ACEPHATE,16.1272,2008
103,103,ERIE,BENSULIDE,0.368,2008
104,104,ERIE,CHLORPYRIFOS,9.62942,2008
105,105,ERIE,DIAZINON,0.0647,2008
106,106,ERIE,DICHLORVOS,109.37931,2008
107,107,ERIE,DICROTOPHOS,0.7216,2008
108,108,ERIE,DIMETHOATE,55.5321,2008
109,109,ERIE,DISULFOTON,0.0563,2008
110,110,ERIE,FENAMIPHOS,0.31515,2008
111,111,ERIE,GLYPHOSATE,44.4112,2008
112,112,ERIE,ISOFENPHOS,6.06,2008
113,113,ERIE,PHORATE,5.25784,2008
114,114,ERIE,PHOSMET,4.9,2008
115,115,ERIE,PROPETAMPHOS,0.02012,2008
116,116,ERIE,RONNEL,2.5e-05,2008
117,117,ERIE,TRICHLORFON,867.46775,2008
118,118,ESSEX,ACEPHATE,0.0825,2008
119,119,ESSEX,CHLORPYRIFOS,15.608492,2008
120,120,ESSEX,GLYPHOSATE,2.9725,2008
121,121,ESSEX,TRICHLORFON,102.3,2008
122,122,FRANKLIN,CHLORPYRIFOS,1.96444,2008
123,123,FRANKLIN,GLYPHOSATE,115.26125,2008
124,124,FRANKLIN,TRICHLORFON,161.82,2008
125,125,FULTON,CHLORPYRIFOS,2.637656,2008
126,126,FULTON,DICHLORVOS,0.2604,2008
127,127,FULTON,TRICHLORFON,5.09702,2008
128,128,GENESEE,CHLORPYRIFOS,21.97855,2008
129,129,GENESEE,DICHLORVOS,0.028,2008
130,130,GENESEE,DICROTOPHOS,0.041,2008
131,131,GENESEE,DIMETHOATE,10.64445,2008
132,132,GENESEE,GLYPHOSATE,6.94005,2008
133,133,GENESEE,PHORATE,0.37556,2008
134,134,GENESEE,TRICHLORFON,26.30846,2008
135,135,GREENE,ACEPHATE,0.0194,2008
136,136,GREENE,CHLORPYRIFOS,2.45722,2008
137,137,GREENE,DIAZINON,0.0085,2008
138,138,GREENE,GLYPHOSATE,2.1225,2008
139,139,GREENE,TRICHLORFON,102.306,2008
140,140,HAMILTON,ACEPHATE,0.0096,2008
141,141,HAMILTON,CHLORPYRIFOS,9.157024,2008
142,142,HAMILTON,TRICHLORFON,26.97,2008
143,143,HERKIMER,ACEPHATE,4.6885,2008
144,144,HERKIMER,BENSULIDE,10.2,2008
145,145,HERKIMER,DIAZINON,0.5,2008
146,146,HERKIMER,GLYPHOSATE,3.116,2008
147,147,HERKIMER,TRICHLORFON,58.8172,2008
148,148,IllegibleCounty,ACEPHATE,0.0225,2008
149,149,InvalidCounty,ACEPHATE,0.2208,2008
150,150,InvalidCounty,CHLORPYRIFOS,3e-04,2008
151,151,InvalidCounty,TRICHLORFON,90.97756,2008
152,152,JEFFERSON,ACEPHATE,4.5696,2008
153,153,JEFFERSON,CHLORPYRIFOS,32.316948,2008
154,154,JEFFERSON,GLYPHOSATE,567.00335,2008
155,155,JEFFERSON,TRICHLORFON,51.1726,2008
156,156,KINGS,ACEPHATE,62.59112,2008
157,157,KINGS,CHLORPYRIFOS,0.1230375,2008
158,158,KINGS,DIAZINON,0.00894,2008
159,159,KINGS,DICHLORVOS,3.473204,2008
160,160,KINGS,DICROTOPHOS,0.0902,2008
161,161,KINGS,DISULFOTON,0.0013,2008
162,162,KINGS,FENITROTHION,0.0085,2008
163,163,KINGS,PROPETAMPHOS,4.85163,2008
164,164,KINGS,RONNEL,0.000475,2008
165,165,KINGS,TRICHLORFON,2.612,2008
166,166,LEWIS,ACEPHATE,0.2106,2008
167,167,LEWIS,CHLORPYRIFOS,1.5554,2008
168,168,LEWIS,GLYPHOSATE,88.73835,2008
169,169,LEWIS,TRICHLORFON,0.91822,2008
170,170,LIVINGSTON,ACEPHATE,0.0288,2008
171,171,LIVINGSTON,CHLORPYRIFOS,1.9756,2008
172,172,LIVINGSTON,DIMETHOATE,1.75305,2008
173,173,LIVINGSTON,GLYPHOSATE,51.1065,2008
174,174,LIVINGSTON,PARATHION,1.12125,2008
175,175,LIVINGSTON,TRICHLORFON,18.1753,2008
176,176,MADISON,ACEPHATE,2.0951,2008
177,177,MADISON,CHLORPYRIFOS,1.394,2008
178,178,MADISON,GLYPHOSATE,206.09724,2008
179,179,MADISON,TRICHLORFON,29.264,2008
180,180,MONROE,ACEPHATE,3.3856,2008
181,181,MONROE,AZINPHOS-METHYL,7.31,2008
182,182,MONROE,BENSULIDE,0.415,2008
183,183,MONROE,CHLORPYRIFOS,3.456197,2008
184,184,MONROE,DIAZINON,0.00045,2008
185,185,MONROE,DICHLORVOS,0.4425,2008
186,186,MONROE,DICROTOPHOS,0.1312,2008
187,187,MONROE,DIMETHOATE,0.12615,2008
188,188,MONROE,DISULFOTON,0.5474,2008
189,189,MONROE,FENAMIPHOS,19.7,2008
190,190,MONROE,GLYPHOSATE,15.8396,2008
191,191,MONROE,PARATHION,134.11155,2008
192,192,MONROE,PARATHION-METHYL,30.763,2008
193,193,MONROE,PROPETAMPHOS,0.31185,2008
194,194,MONROE,TRICHLORFON,2484.27452,2008
195,195,MONTGOMERY,ACEPHATE,0.0075,2008
196,196,MONTGOMERY,CHLORPYRIFOS,1.10525,2008
197,197,MONTGOMERY,DICHLORVOS,3.22338,2008
198,198,MONTGOMERY,TRICHLORFON,33.2494,2008
199,199,NASSAU,ACEPHATE,175.462954,2008
200,200,NASSAU,BENSULIDE,68.06977,2008
201,201,NASSAU,CHLORPYRIFOS,106.5783615,2008
202,202,NASSAU,DIAZINON,1.4,2008
203,203,NASSAU,DICHLORVOS,0.9918328,2008
204,204,NASSAU,DICROTOPHOS,0.0246,2008
205,205,NASSAU,DISULFOTON,14.045,2008
206,206,NASSAU,FENAMIPHOS,0.05,2008
207,207,NASSAU,GLYPHOSATE,7.1316,2008
208,208,NASSAU,PHORATE,11.142,2008
209,209,NASSAU,PROPETAMPHOS,7.2681,2008
