,X,county,ai_name,AIused,year
1,1,ALBANY,ACEPHATE,0.278384,2010
2,2,ALBANY,BENSULIDE,29.455,2010
3,3,ALBANY,CHLORPYRIFOS,3.0151,2010
4,4,ALBANY,DICHLORVOS,28.97783,2010
5,5,ALBANY,FENAMIPHOS,22.5,2010
6,6,ALBANY,GLYPHOSATE,0.01981,2010
7,7,ALBANY,PROPETAMPHOS,0.11529,2010
8,8,ALBANY,RONNEL,2.5e-05,2010
9,9,ALBANY,TRICHLORFON,324.31216,2010
10,10,ALLEGANY,DIAZINON,0.00125,2010
11,11,ALLEGANY,DIMETHOATE,0.5568,2010
12,12,ALLEGANY,GLYPHOSATE,26.322,2010
13,13,ALLEGANY,TRICHLORFON,12.4,2010
14,14,BRONX,ACEPHATE,29.30074,2010
15,15,BRONX,CHLORPYRIFOS,8.5733325,2010
16,16,BRONX,DIAZINON,0.00473,2010
17,17,BRONX,DICHLORVOS,1.00842,2010
18,18,BRONX,FENSULFOTHION,0.001335,2010
19,19,BRONX,GLYPHOSATE,2.65454,2010
20,20,BRONX,PROPETAMPHOS,1.92402,2010
21,21,BRONX,TRICHLORFON,12.736,2010
22,22,BROOME,ACEPHATE,0.29648,2010
23,23,BROOME,CHLORPYRIFOS,2.6372,2010
24,24,BROOME,DIAZINON,0.00224,2010
25,25,BROOME,DICHLORVOS,0.2688,2010
26,26,BROOME,DICROTOPHOS,0.0082,2010
27,27,BROOME,GLYPHOSATE,3.40915,2010
28,28,BROOME,TRICHLORFON,88.912,2010
29,29,CATTARAUGUS,DICHLORVOS,0.058,2010
30,30,CATTARAUGUS,DIMETHOATE,1094.025,2010
31,31,CATTARAUGUS,GLYPHOSATE,53.85145,2010
32,32,CAYUGA,CHLORPYRIFOS,7.48997,2010
33,33,CAYUGA,DIAZINON,0.00315,2010
34,34,CAYUGA,DICHLORVOS,0.2385,2010
35,35,CAYUGA,DICROTOPHOS,0.0902,2010
36,36,CAYUGA,GLYPHOSATE,723.98005,2010
37,37,CAYUGA,OXYDEMETON-METHYL,2.1875,2010
38,38,CAYUGA,TRICHLORFON,18.383,2010
39,39,CHAUTAUQUA,ACEPHATE,6.1397,2010
40,40,CHAUTAUQUA,CHLORPYRIFOS,0.006,2010
41,41,CHAUTAUQUA,DIAZINON,17.92896,2010
42,42,CHAUTAUQUA,DICHLORVOS,0.02418,2010
43,43,CHAUTAUQUA,DIMETHOATE,1049.43315,2010
44,44,CHAUTAUQUA,GLYPHOSATE,46.47965,2010
45,45,CHEMUNG,ACEPHATE,0.81,2010
46,46,CHEMUNG,BENSULIDE,0.56,2010
47,47,CHEMUNG,DICROTOPHOS,0.0246,2010
48,48,CHEMUNG,DIMETHOATE,0.0435,2010
49,49,CHEMUNG,TRICHLORFON,112.45498,2010
50,50,CHENANGO,ACEPHATE,27.315,2010
51,51,CHENANGO,CHLORPYRIFOS,2.986956,2010
52,52,CHENANGO,GLYPHOSATE,53.5542,2010
53,53,CHENANGO,TRICHLORFON,32.705,2010
54,54,CLINTON,ACEPHATE,2.1792,2010
55,55,CLINTON,CHLORPYRIFOS,12.21378,2010
56,56,CLINTON,DIAZINON,50,2010
57,57,CLINTON,DICROTOPHOS,0.0082,2010
58,58,CLINTON,TRICHLORFON,32.302,2010
59,59,COLUMBIA,ACEPHATE,0.0525,2010
60,60,COLUMBIA,BENSULIDE,12.58,2010
61,61,COLUMBIA,CHLORPYRIFOS,8.09258,2010
62,62,COLUMBIA,DICHLORVOS,17.6651,2010
63,63,COLUMBIA,DIMETHOATE,3.5792,2010
64,64,COLUMBIA,PHOSMET,4.2,2010
65,65,COLUMBIA,TRICHLORFON,13.392,2010
66,66,CORTLAND,CHLORPYRIFOS,1.40358,2010
67,67,CORTLAND,DICROTOPHOS,0.0164,2010
68,68,CORTLAND,GLYPHOSATE,110.4048,2010
69,69,CORTLAND,TRICHLORFON,0.651,2010
70,70,DELAWARE,CHLORPYRIFOS,0.3752,2010
71,71,DELAWARE,GLYPHOSATE,107.09003,2010
72,72,DELAWARE,TRICHLORFON,26.38,2010
73,73,DUTCHESS,ACEPHATE,6.131,2010
74,74,DUTCHESS,BENSULIDE,5.475,2010
75,75,DUTCHESS,CHLORPYRIFOS,36.999144,2010
76,76,DUTCHESS,DICHLORVOS,0.1749,2010
77,77,DUTCHESS,DICROTOPHOS,0.0328,2010
78,78,DUTCHESS,GLYPHOSATE,0.1444,2010
79,79,DUTCHESS,PARATHION,8e-04,2010
80,80,DUTCHESS,PHOSMET,9.8,2010
81,81,DUTCHESS,PROPETAMPHOS,0.05481,2010
82,82,DUTCHESS,TRICHLORFON,284.49014,2010
83,83,ERIE,ACEPHATE,0.56446,2010
84,84,ERIE,BENSULIDE,0.1518,2010
85,85,ERIE,CHLORPYRIFOS,0.5175,2010
86,86,ERIE,DIAZINON,0.02,2010
87,87,ERIE,DICHLORVOS,131.14705,2010
88,88,ERIE,DICROTOPHOS,1.0414,2010
89,89,ERIE,DIMETHOATE,1222.35,2010
90,90,ERIE,FENAMIPHOS,0.04775,2010
91,91,ERIE,GLYPHOSATE,43.70404,2010
92,92,ERIE,PHOSMET,0.7,2010
93,93,ERIE,PROPETAMPHOS,0.03591,2010
94,94,ERIE,TRICHLORFON,1755.54876,2010
95,95,ESSEX,CHLORPYRIFOS,9.265028,2010
96,96,ESSEX,DICHLORVOS,0.02604,2010
97,97,ESSEX,GLYPHOSATE,3.10575,2010
98,98,ESSEX,TRICHLORFON,39.6056,2010
99,99,FRANKLIN,CHLORPYRIFOS,0.56628,2010
100,100,FRANKLIN,GLYPHOSATE,18.86,2010
101,101,FULTON,DICHLORVOS,0.031674,2010
102,102,FULTON,DIOXATHION,0.0015,2010
103,103,FULTON,TRICHLORFON,25.93674,2010
104,104,GENESEE,DICROTOPHOS,0.0082,2010
105,105,GENESEE,DIMETHOATE,533.88855,2010
106,106,GENESEE,GLYPHOSATE,136.1979,2010
107,107,GENESEE,TRICHLORFON,8.56344,2010
108,108,GREENE,CHLORPYRIFOS,5.05062,2010
109,109,GREENE,DIMETHOATE,143.55,2010
110,110,GREENE,GLYPHOSATE,3.32525,2010
111,111,HAMILTON,CHLORPYRIFOS,8.143448,2010
112,112,HAMILTON,ISOFENPHOS,1.5466,2010
113,113,HAMILTON,TRICHLORFON,11.16,2010
