,county,ai_name,AIused,year
1,ALBANY,ACEPHATE,0.0417,2011
2,ALBANY,BENSULIDE,26.31,2011
3,ALBANY,CHLORPYRIFOS,0.16253,2011
4,ALBANY,DICHLORVOS,57.80964,2011
5,ALBANY,FENAMIPHOS,22.5,2011
6,ALBANY,GLYPHOSATE,12.31353,2011
7,ALBANY,PROPETAMPHOS,0.00189,2011
8,ALBANY,TRICHLORFON,168.70208,2011
9,ALLEGANY,CHLORPYRIFOS,3.25,2011
10,ALLEGANY,GLYPHOSATE,34.3129,2011
11,ALLEGANY,TRICHLORFON,12.09,2011
12,BRONX,ACEPHATE,12.87142,2011
13,BRONX,CHLORPYRIFOS,7.8794,2011
14,BRONX,DIAZINON,0.0055,2011
15,BRONX,DICHLORVOS,0.6545,2011
16,BRONX,DICROTOPHOS,0.0082,2011
17,BRONX,FENAMIPHOS,0.007,2011
18,BRONX,GLYPHOSATE,2.39135,2011
19,BRONX,NALED,0.225,2011
20,BRONX,PHOSMET,0.0375,2011
21,BRONX,PROPETAMPHOS,3.42717,2011
22,BRONX,RONNEL,2.5e-05,2011
23,BRONX,TRICHLORFON,72.1,2011
24,BROOME,ACEPHATE,0.43462,2011
25,BROOME,CHLORPYRIFOS,1.2063,2011
26,BROOME,DICHLORVOS,0.25793,2011
27,BROOME,GLYPHOSATE,168.305,2011
28,BROOME,RONNEL,2.5e-05,2011
29,BROOME,TRICHLORFON,91.505,2011
30,CATTARAUGUS,GLYPHOSATE,76.7848,2011
31,CATTARAUGUS,TRICHLORFON,5.58,2011
32,CAYUGA,CHLORPYRIFOS,0.294,2011
33,CAYUGA,CHLORPYRIFOS-METHYL,0.01296,2011
34,CAYUGA,DICHLORVOS,0.0015,2011
35,CAYUGA,DICROTOPHOS,0.0574,2011
36,CAYUGA,GLYPHOSATE,805.55365,2011
37,CAYUGA,OXYDEMETON-METHYL,6.35,2011
38,CAYUGA,TRICHLORFON,6.262,2011
39,CHAUTAUQUA,ACEPHATE,0.0873,2011
40,CHAUTAUQUA,CHLORPYRIFOS,4.2022,2011
41,CHAUTAUQUA,DICHLORVOS,1.14204,2011
42,CHAUTAUQUA,GLYPHOSATE,90.5608,2011
43,CHAUTAUQUA,TRICHLORFON,2.604,2011
44,CHEMUNG,ACEPHATE,1.12002,2011
45,CHEMUNG,CHLORPYRIFOS,1.0548,2011
46,CHEMUNG,DICHLORVOS,0.49226,2011
47,CHEMUNG,DICROTOPHOS,0.0328,2011
48,CHEMUNG,GLYPHOSATE,31.1447,2011
49,CHEMUNG,TRICHLORFON,314.8639,2011
50,CHENANGO,ACEPHATE,0.1056,2011
51,CHENANGO,CHLORPYRIFOS,3.36741,2011
52,CHENANGO,GLYPHOSATE,159.45925,2011
53,CLINTON,CHLORPYRIFOS,5e-05,2011
54,CLINTON,DICHLORVOS,0.08556,2011
55,CLINTON,DICROTOPHOS,0.0082,2011
56,CLINTON,TRICHLORFON,5.766,2011
57,COLUMBIA,BENSULIDE,12.58,2011
58,COLUMBIA,CHLORPYRIFOS,8.290846,2011
59,COLUMBIA,DICHLORVOS,26,2011
60,COLUMBIA,DISULFOTON,0.0025,2011
61,COLUMBIA,PHOSMET,2.8,2011
62,COLUMBIA,TRICHLORFON,0.032,2011
63,CORTLAND,CHLORPYRIFOS,2.16795,2011
64,CORTLAND,DICHLORVOS,0.00372,2011
65,CORTLAND,GLYPHOSATE,63.57255,2011
66,CORTLAND,TRICHLORFON,14.51173,2011
67,DELAWARE,CHLORPYRIFOS,11.57892,2011
68,DELAWARE,DICHLORVOS,0.00744,2011
69,DELAWARE,GLYPHOSATE,157.03829,2011
70,DELAWARE,TRICHLORFON,23.144,2011
71,DUTCHESS,ACEPHATE,24.9159,2011
72,DUTCHESS,BENSULIDE,6.348,2011
73,DUTCHESS,CHLORPYRIFOS,4.976186,2011
74,DUTCHESS,DICHLORVOS,0.48212,2011
75,DUTCHESS,DICROTOPHOS,0.0082,2011
76,DUTCHESS,PHOSMET,5.6,2011
77,DUTCHESS,PROPETAMPHOS,0.02835,2011
78,DUTCHESS,TRICHLORFON,128.32912,2011
79,ERIE,ACEPHATE,2.89562,2011
80,ERIE,AZINPHOS-METHYL,8e-04,2011
81,ERIE,BENSULIDE,0.3358,2011
82,ERIE,CHLORPYRIFOS,20.273038,2011
83,ERIE,DIAZINON,0.24,2011
84,ERIE,DICHLORVOS,88.20006,2011
85,ERIE,DICROTOPHOS,0.697,2011
86,ERIE,DIMETHOATE,0.3045,2011
87,ERIE,FENAMIPHOS,0.04775,2011
88,ERIE,GLYPHOSATE,18.52048,2011
89,ERIE,OXYDEMETON-METHYL,0.005,2011
90,ERIE,PHOSMET,2.8,2011
91,ERIE,TRICHLORFON,1741.09772,2011
92,ESSEX,CHLORPYRIFOS,12.065002,2011
93,ESSEX,GLYPHOSATE,35.0878,2011
94,ESSEX,TRICHLORFON,32.80249,2011
95,FRANKLIN,CHLORPYRIFOS,11.40015,2011
96,FRANKLIN,GLYPHOSATE,33.6474,2011
97,FRANKLIN,PHOSMET,5.6,2011
98,FRANKLIN,TRICHLORFON,92.65875,2011
99,FULTON,CHLORPYRIFOS,0.12949,2011
100,FULTON,DICHLORVOS,0.1302,2011
101,FULTON,PROPETAMPHOS,0.00567,2011
102,GENESEE,CHLORPYRIFOS,0.50765,2011
103,GENESEE,DIAZINON,26.91006,2011
104,GENESEE,DICROTOPHOS,0.0164,2011
105,GENESEE,GLYPHOSATE,46.7318,2011
106,GENESEE,TRICHLORFON,15.18566,2011
107,GREENE,CHLORPYRIFOS,4.5,2011
108,GREENE,GLYPHOSATE,42.98129,2011
109,GREENE,PROPETAMPHOS,0.01134,2011
110,HAMILTON,CHLORPYRIFOS,5.3868,2011
