county,ai_name,AIused,year
ALBANY,ACEPHATE,0.3982,2008
ALBANY,BENSULIDE,12.58,2008
ALBANY,CHLORPYRIFOS,4.26406,2008
ALBANY,DICHLORVOS,10.3516,2008
ALBANY,DICROTOPHOS,0.0082,2008
ALBANY,DISULFOTON,0.0176,2008
ALBANY,FENAMIPHOS,22.5,2008
ALBANY,GLYPHOSATE,0.09905,2008
ALBANY,PROPETAMPHOS,0.60858,2008
ALBANY,TRICHLORFON,318.82674,2008
ALLEGANY,DIAZINON,0.0025,2008
ALLEGANY,DIMETHOATE,0.174,2008
ALLEGANY,GLYPHOSATE,14.4402,2008
ALLEGANY,TRICHLORFON,2.17,2008
BRONX,ACEPHATE,215.4623,2008
BRONX,AZINPHOS-METHYL,0.00124,2008
BRONX,CHLORPYRIFOS,2.715665,2008
BRONX,DICHLORVOS,0.200044,2008
BRONX,DICROTOPHOS,0.0082,2008
BRONX,GLYPHOSATE,0.35375,2008
BRONX,PROPETAMPHOS,0.88074,2008
BRONX,RONNEL,0.00125,2008
BRONX,TRICHLORFON,24.73124,2008
BROOME,ACEPHATE,7.918,2008
BROOME,BENSULIDE,7.572,2008
BROOME,CHLORPYRIFOS,3.05055,2008
BROOME,DICHLORVOS,0.21786,2008
BROOME,DICROTOPHOS,0.0328,2008
BROOME,GLYPHOSATE,18.12656,2008
BROOME,TRICHLORFON,195.331,2008
CATTARAUGUS,CHLORFENVINPHOS,5,2008
CATTARAUGUS,CHLORPYRIFOS,0.22,2008
CATTARAUGUS,DIAZINON,0.4875,2008
CATTARAUGUS,DIMETHOATE,211.14465,2008
CATTARAUGUS,GLYPHOSATE,103.0371,2008
CATTARAUGUS,TRICHLORFON,0.51398,2008
CAYUGA,ACEPHATE,0.0675,2008
CAYUGA,CHLORPYRIFOS,12.78212,2008
CAYUGA,CHLORPYRIFOS-METHYL,0.216,2008
CAYUGA,DIAZINON,12.84,2008
CAYUGA,DICROTOPHOS,0.041,2008
CAYUGA,DIMETHOATE,2.262,2008
CAYUGA,GLYPHOSATE,597.7595,2008
CAYUGA,NALED,2.55,2008
CAYUGA,OXYDEMETON-METHYL,12.875,2008
CAYUGA,TRICHLORFON,7.88082,2008
CHAUTAUQUA,BENSULIDE,0.0108,2008
CHAUTAUQUA,CHLORPYRIFOS,2.3287,2008
CHAUTAUQUA,DIMETHOATE,800.96985,2008
CHAUTAUQUA,FENSULFOTHION,0.001335,2008
CHAUTAUQUA,GLYPHOSATE,58.277,2008
CHAUTAUQUA,PARATHION-METHYL,0.185,2008
CHAUTAUQUA,TRICHLORFON,62.00186,2008
CHEMUNG,ACEPHATE,3.5925,2008
CHEMUNG,BENSULIDE,0.56,2008
CHEMUNG,CHLORPYRIFOS,0.088,2008
CHEMUNG,DICHLORVOS,0.00038,2008
CHEMUNG,DICROTOPHOS,0.0492,2008
CHEMUNG,DIMETHOATE,0.38715,2008
CHEMUNG,GLYPHOSATE,10.26825,2008
CHEMUNG,RONNEL,0.00095,2008
CHEMUNG,TRICHLORFON,265.45238,2008
CHENANGO,CHLORPYRIFOS,0.6864,2008
CHENANGO,DIAZINON,17.5,2008
CHENANGO,GLYPHOSATE,89.35229,2008
CHENANGO,TRICHLORFON,22.568,2008
CLINTON,ACEPHATE,5.472,2008
CLINTON,CHLORPYRIFOS,0.4246,2008
CLINTON,GLYPHOSATE,6.28457,2008
CLINTON,TEMEPHOS,0.1539,2008
CLINTON,TRICHLORFON,6.0295,2008
COLUMBIA,ACEPHATE,1.9404,2008
COLUMBIA,BENSULIDE,22.015,2008
COLUMBIA,CHLORPYRIFOS,14.30376,2008
COLUMBIA,DICHLORVOS,8,2008
COLUMBIA,DICROTOPHOS,0.0082,2008
COLUMBIA,DISULFOTON,0.065,2008
COLUMBIA,GLYPHOSATE,11.849,2008
COLUMBIA,PHOSMET,2.8,2008
COLUMBIA,PROPETAMPHOS,0.00567,2008
COLUMBIA,TRICHLORFON,136.66474,2008
CORTLAND,ACEPHATE,0.0097,2008
CORTLAND,CHLORPYRIFOS,2.9752,2008
CORTLAND,DICROTOPHOS,0.0984,2008
CORTLAND,GLYPHOSATE,259.452,2008
CORTLAND,METHAMIDOPHOS,0.076,2008
CORTLAND,PHORATE,0.9,2008
DELAWARE,CHLORPYRIFOS,5.02328,2008
DELAWARE,DICROTOPHOS,0.123,2008
DELAWARE,GLYPHOSATE,111.4343,2008
DELAWARE,TRICHLORFON,21.158,2008
DUTCHESS,ACEPHATE,6.97736,2008
DUTCHESS,BENSULIDE,32.06,2008
DUTCHESS,CHLORPYRIFOS,17.38519,2008
DUTCHESS,DIAZINON,0.1,2008
DUTCHESS,DICHLORVOS,0.2533,2008
DUTCHESS,DICROTOPHOS,0.1312,2008
DUTCHESS,DIMETHOATE,2.55375,2008
DUTCHESS,PHOSMET,3.5,2008
DUTCHESS,PROPETAMPHOS,0.00945,2008
DUTCHESS,TRICHLORFON,1273.09684,2008
ERIE,ACEPHATE,16.1272,2008
ERIE,BENSULIDE,0.368,2008
ERIE,CHLORPYRIFOS,9.62942,2008
ERIE,DIAZINON,0.0647,2008
ERIE,DICHLORVOS,109.37931,2008
ERIE,DICROTOPHOS,0.7216,2008
ERIE,DIMETHOATE,55.5321,2008
ERIE,DISULFOTON,0.0563,2008
ERIE,FENAMIPHOS,0.31515,2008
ERIE,GLYPHOSATE,44.4112,2008
ERIE,ISOFENPHOS,6.06,2008
ERIE,PHORATE,5.25784,2008
ERIE,PHOSMET,4.9,2008
ERIE,PROPETAMPHOS,0.02012,2008
ERIE,RONNEL,2.50E-05,2008
ERIE,TRICHLORFON,867.46775,2008
ESSEX,ACEPHATE,0.0825,2008
ESSEX,CHLORPYRIFOS,15.608492,2008
ESSEX,GLYPHOSATE,2.9725,2008
ESSEX,TRICHLORFON,102.3,2008
FRANKLIN,CHLORPYRIFOS,1.96444,2008
FRANKLIN,GLYPHOSATE,115.26125,2008
FRANKLIN,TRICHLORFON,161.82,2008
FULTON,CHLORPYRIFOS,2.637656,2008
FULTON,DICHLORVOS,0.2604,2008
FULTON,TRICHLORFON,5.09702,2008
GENESEE,CHLORPYRIFOS,21.97855,2008
GENESEE,DICHLORVOS,0.028,2008
GENESEE,DICROTOPHOS,0.041,2008
GENESEE,DIMETHOATE,10.64445,2008
GENESEE,GLYPHOSATE,6.94005,2008
GENESEE,PHORATE,0.37556,2008
GENESEE,TRICHLORFON,26.30846,2008
GREENE,ACEPHATE,0.0194,2008
GREENE,CHLORPYRIFOS,2.45722,2008
GREENE,DIAZINON,0.0085,2008
GREENE,GLYPHOSATE,2.1225,2008
GREENE,TRICHLORFON,102.306,2008
HAMILTON,ACEPHATE,0.0096,2008
HAMILTON,CHLORPYRIFOS,9.157024,2008
HAMILTON,TRICHLORFON,26.97,2008
HERKIMER,ACEPHATE,4.6885,2008
HERKIMER,BENSULIDE,10.2,2008
HERKIMER,DIAZINON,0.5,2008
HERKIMER,GLYPHOSATE,3.116,2008
HERKIMER,TRICHLORFON,58.8172,2008
IllegibleCounty,ACEPHATE,0.0225,2008
InvalidCounty,ACEPHATE,0.2208,2008
InvalidCounty,CHLORPYRIFOS,3.00E-04,2008
InvalidCounty,TRICHLORFON,90.97756,2008
JEFFERSON,ACEPHATE,4.5696,2008
JEFFERSON,CHLORPYRIFOS,32.316948,2008
JEFFERSON,GLYPHOSATE,567.00335,2008
JEFFERSON,TRICHLORFON,51.1726,2008
KINGS,ACEPHATE,62.59112,2008
KINGS,CHLORPYRIFOS,0.1230375,2008
KINGS,DIAZINON,0.00894,2008
KINGS,DICHLORVOS,3.473204,2008
KINGS,DICROTOPHOS,0.0902,2008
KINGS,DISULFOTON,0.0013,2008
KINGS,FENITROTHION,0.0085,2008
