,int,slope,Pr,Rsq
westchester,2922077.88,-1451.451863,0.022875009,0.763574201
ulster,60135.27576,-29.8670124,0.03842068,0.697853687
washington,33148.56385,-16.46572829,0.042110155,0.684608399
schoharie,-3477.216157,1.733644324,0.050169,0.770992763
jefferson,198706.6148,-98.68033309,0.056499528,0.638523798
franklin,92783.79736,-46.10298994,0.062828971,0.620453708
newyork,-95449.04846,47.59518273,0.069883281,0.601555068
rockland,349624.0711,-173.655932,0.071959547,0.596214091
monroe,831886.7229,-412.8562766,0.076027931,0.586014502
cortland,69285.28338,-34.40550834,0.078431212,0.580145683
yates,3807.464645,-1.891967973,0.084345066,0.683364549
tioga,39255.40268,-19.49542286,0.085534344,0.56342285
chautauqua,349610.0551,-173.5948,0.092153399,0.548601758
oneida,41620.76327,-20.55291346,0.108222638,0.515228673
wayne,473775.8954,-235.366603,0.113866637,0.504269681
st.lawrence,35223.32399,-17.50113937,0.124930878,0.48377924
saratoga,115017.3601,-57.02040171,0.140211145,0.4573858
dutchess,315042.8295,-156.4852935,0.159171872,0.427245889
nassau,1177296.977,-581.7748221,0.166251139,0.416639539
greene,41036.22265,-20.38216674,0.173826428,0.405641814
livingston,-115709.7038,57.72605371,0.176941596,0.40121959
essex,15866.17899,-7.851705029,0.178424177,0.399134812
albany,85093.27447,-42.19265437,0.188616802,0.385135603
rensselaer,31505.92183,-15.63477589,0.188940794,0.384699867
orange,206879.2229,-102.6799595,0.226775408,0.337310912
herkimer,13749.59015,-6.825436971,0.308301155,0.253755663
chemung,73776.30081,-36.62360286,0.319171552,0.244127796
allegany,-15047.57321,7.502162,0.325165702,0.238949141
suffolk,1949629.263,-966.310561,0.332074152,0.233091798
seneca,72649.0492,-36.03932086,0.336466009,0.229428659
queens,71801.61707,-35.57540237,0.34917063,0.219088715
orleans,-37926.76881,18.90176177,0.370889501,0.202254093
sullivan,16151.51988,-8.0152568,0.401715332,0.180049903
ontario,154412.2559,-76.47569729,0.414747565,0.171217135
warren,35857.18805,-17.77174529,0.432086374,0.159945166
richmond,-29202.45153,14.57545754,0.436105384,0.157408011
schenectady,17153.19684,-8.492985829,0.437971216,0.156239594
hamilton,5688.678914,-2.811292171,0.452685213,0.147231711
fulton,-4048.206087,2.0192968,0.470377815,0.136870671
onondaga,-75756.52142,37.88709629,0.539784954,0.100791203
putnam,11463.05704,-5.664199086,0.559123824,0.091935939
bronx,-88049.19827,43.92127873,0.574619312,0.085191335
steuben,9431.245342,-4.659784143,0.575967909,0.084618776
cattaraugus,127764.3199,-63.37621211,0.578537566,0.083534126
kings,34508.95855,-17.11197983,0.58035797,0.082770738
erie,308752.0607,-152.8706732,0.584030934,0.081243046
otsego,-19059.41106,9.521971714,0.617276663,0.068163254
montgomery,-4175.861172,2.087164,0.654600869,0.055022262
delaware,-18605.55694,9.327172629,0.681762534,0.04643766
oswego,-4241.974382,2.134861838,0.717493204,0.050069374
columbia,11551.09132,-5.6910948,0.722700579,0.034986836
lewis,-17486.0398,8.763165429,0.742095249,0.030165759
schuyler,7594.910401,-3.763116149,0.766403779,0.03404708
madison,-14129.24401,7.1171572,0.832444868,0.012582987
broome,10993.59604,-5.396052429,0.832576103,0.012563117
tompkins,-2717.73782,1.472175,0.87415963,0.00707143
niagara,46641.39365,-22.94032023,0.876959908,0.006758804
chenango,6536.724637,-3.180181886,0.880028385,0.006424459
clinton,2769.567499,-1.362185714,0.88394406,0.006010272
cayuga,-18974.42536,9.7500008,0.921566381,0.002739148
wyoming,-15828.69954,8.0811124,0.937745289,0.001724493
genesee,-2652.517539,1.420214,0.983818804,0.000116378
